city,time,cams_pm2_5,cams_pm10,hour,day,month,day_of_week,pm2_5_lag_1,pm10_lag_1,pm2_5_rolling_3h,pm10_rolling_3h
Jakarta,2024-09-01 06:00:00,42.0864695,59.86640925,6,1,9,6,63.76547,90.45550125,63.76547,90.45550125
Jakarta,2024-09-01 12:00:00,61.3148355,86.6939445,12,1,9,6,42.0864695,59.86640925,52.92596975,75.16095525
Jakarta,2024-09-01 18:00:00,92.72936725,131.1833265,18,1,9,6,61.3148355,86.6939445,55.722258333333336,79.005285
Jakarta,2024-09-02 00:00:00,112.67644625,159.3998615,0,2,9,0,92.72936725,131.1833265,65.37689075,92.58122675
Jakarta,2024-09-02 06:00:00,58.561454000000005,82.9753605,6,2,9,0,112.67644625,159.3998615,88.906883,125.75904416666667
Jakarta,2024-09-02 12:00:00,62.18601999999999,87.38891225,12,2,9,0,58.561454000000005,82.9753605,87.98908916666666,124.51951616666666
Jakarta,2024-09-02 18:00:00,75.93426674999999,106.73659225,18,2,9,0,62.18601999999999,87.38891225,77.80797341666666,109.92137808333332
Jakarta,2024-09-03 00:00:00,65.02204925000001,91.74977,0,3,9,1,75.93426674999999,106.73659225,65.56058025,92.366955
Jakarta,2024-09-03 06:00:00,38.1839985,53.927124000000006,6,3,9,1,65.02204925000001,91.74977,67.714112,95.29175816666667
Jakarta,2024-09-03 12:00:00,50.56051525,71.00959475,12,3,9,1,38.1839985,53.927124000000006,59.71343816666667,84.13782875
Jakarta,2024-09-03 18:00:00,71.8796685,101.094743,18,3,9,1,50.56051525,71.00959475,51.25552100000001,72.22882958333334
Jakarta,2024-09-04 00:00:00,94.35234625,132.91651,0,4,9,2,71.8796685,101.094743,53.54139408333333,75.34382058333334
Jakarta,2024-09-04 06:00:00,39.05393,55.16960775,6,4,9,2,94.35234625,132.91651,72.26417666666667,101.67361591666668
Jakarta,2024-09-04 12:00:00,45.85103875,64.6542725,12,4,9,2,39.05393,55.16960775,68.42864825,96.39362024999998
Jakarta,2024-09-04 18:00:00,59.3424825,83.795215,18,4,9,2,45.85103875,64.6542725,59.75243833333334,84.24679675
Jakarta,2024-09-05 00:00:00,91.8012125,129.86527249999995,0,5,9,3,59.3424825,83.795215,48.08248375,67.87303175
Jakarta,2024-09-05 06:00:00,61.41249325,87.63777375000001,6,5,9,3,91.8012125,129.86527249999995,65.66491125,92.77158666666664
Jakarta,2024-09-05 12:00:00,64.85117875,92.03108625,12,5,9,3,61.41249325,87.63777375000001,70.85206275,100.43275374999997
Jakarta,2024-09-05 18:00:00,70.06434449999999,99.3023815,18,5,9,3,64.85117875,92.03108625,72.68829483333333,103.17804416666665
Jakarta,2024-09-06 00:00:00,84.97119225,120.7950525,0,6,9,4,70.06434449999999,99.3023815,65.44267216666667,92.99041383333333
Jakarta,2024-09-06 06:00:00,44.1302175,63.3164055,6,6,9,4,84.97119225,120.7950525,73.29557183333333,104.04284008333333
