city,time,cams_pm2_5,cams_pm10
Jakarta,2024-09-01 00:00:00,63.76547,90.45550125
Jakarta,2024-09-01 06:00:00,42.0864695,59.866409250000004
Jakarta,2024-09-01 12:00:00,61.3148355,86.6939445
Jakarta,2024-09-01 18:00:00,92.72936725,131.1833265
Jakarta,2024-09-02 00:00:00,112.67644625,159.3998615
Jakarta,2024-09-02 06:00:00,58.561454000000005,82.9753605
Jakarta,2024-09-02 12:00:00,62.18601999999999,87.38891225
Jakarta,2024-09-02 18:00:00,75.93426674999999,106.73659225
Jakarta,2024-09-03 00:00:00,65.02204925000001,91.74977
Jakarta,2024-09-03 06:00:00,38.1839985,53.927124000000006
Jakarta,2024-09-03 12:00:00,50.56051525,71.00959475
Jakarta,2024-09-03 18:00:00,71.8796685,101.094743
Jakarta,2024-09-04 00:00:00,94.35234625000001,132.91651
Jakarta,2024-09-04 06:00:00,39.05393,55.169607750000004
Jakarta,2024-09-04 12:00:00,45.85103875,64.6542725
Jakarta,2024-09-04 18:00:00,59.3424825,83.795215
Jakarta,2024-09-05 00:00:00,91.8012125,129.86527249999997
Jakarta,2024-09-05 06:00:00,61.41249325,87.63777375000001
Jakarta,2024-09-05 12:00:00,64.85117875,92.03108625
Jakarta,2024-09-05 18:00:00,70.06434449999999,99.30238150000001
Jakarta,2024-09-06 00:00:00,84.97119225,120.7950525
Jakarta,2024-09-06 06:00:00,44.1302175,63.316405499999995
Jakarta,2024-09-06 12:00:00,40.021404749999995,57.337162
Jakarta,2024-09-06 18:00:00,55.604459,79.2673525
Jakarta,2024-09-07 00:00:00,92.669439,132.3169275
Jakarta,2024-09-07 06:00:00,43.124373500000004,62.621212500000006
Jakarta,2024-09-07 12:00:00,51.13042725,72.92101000000001
Jakarta,2024-09-07 18:00:00,94.1013785,133.62626
Jakarta,2024-09-08 00:00:00,98.70496,140.47196875
Jakarta,2024-09-08 06:00:00,47.168896249999996,67.76997475
Jakarta,2024-09-08 12:00:00,48.800075,69.84851075
Jakarta,2024-09-08 18:00:00,54.7601085,77.94108125
Jakarta,2024-09-09 00:00:00,65.77533875,93.549601
Jakarta,2024-09-09 06:00:00,37.11994550000001,53.343001
Jakarta,2024-09-09 12:00:00,46.628771,66.562848
Jakarta,2024-09-09 18:00:00,59.50067775,84.6602855
Jakarta,2024-09-10 00:00:00,75.927005,108.08196099999999
Jakarta,2024-09-10 06:00:00,47.26257375,67.842051
Jakarta,2024-09-10 12:00:00,64.71589225,91.98856874999998
Jakarta,2024-09-10 18:00:00,67.34475775,95.84920100000001
Jakarta,2024-09-11 00:00:00,61.351330499999996,87.35497624999999
Jakarta,2024-09-11 06:00:00,32.81138575,47.089428749999996
Jakarta,2024-09-11 12:00:00,53.626877,76.37169275
Jakarta,2024-09-11 18:00:00,84.6433185,120.11053
Jakarta,2024-09-12 00:00:00,66.13308275,93.8861715
Jakarta,2024-09-12 06:00:00,40.3736635,57.650253500000005
Jakarta,2024-09-12 12:00:00,44.350884,62.94987925
Jakarta,2024-09-12 18:00:00,78.7275245,111.5447775
Jakarta,2024-09-13 00:00:00,77.25748174999998,109.7537265
Jakarta,2024-09-13 06:00:00,44.6706275,63.884044749999994
Jakarta,2024-09-13 12:00:00,72.26299175,102.1518285
Jakarta,2024-09-13 18:00:00,107.53308375,152.31094625
Jakarta,2024-09-14 00:00:00,115.56017250000001,164.001675
Jakarta,2024-09-14 06:00:00,48.4380965,69.14012875
Jakarta,2024-09-14 12:00:00,74.534001,105.279695
Jakarta,2024-09-14 18:00:00,112.64703025,159.19295
Jakarta,2024-09-15 00:00:00,111.5721775,157.20854500000002
Jakarta,2024-09-15 06:00:00,55.45933925,78.20404
Jakarta,2024-09-15 12:00:00,66.81033000000001,93.830494
Jakarta,2024-09-15 18:00:00,121.29984849999998,171.14081249999998
Jakarta,2024-09-16 00:00:00,98.9985825,139.86556
Jakarta,2024-09-16 06:00:00,38.563314500000004,54.522929500000004
Jakarta,2024-09-16 12:00:00,52.239357749999996,73.58329375
Jakarta,2024-09-16 18:00:00,91.84745525,129.91353
Jakarta,2024-09-17 00:00:00,90.25606575,127.89507750000001
Jakarta,2024-09-17 06:00:00,33.93515175,48.12898175
Jakarta,2024-09-17 12:00:00,50.479940500000005,71.1404485
Jakarta,2024-09-17 18:00:00,78.980931,111.4290475
Jakarta,2024-09-18 00:00:00,67.19693649999999,95.09488975000001
Jakarta,2024-09-18 06:00:00,29.9763765,42.684520500000005
Jakarta,2024-09-18 12:00:00,40.50156075,57.240187
Jakarta,2024-09-18 18:00:00,89.87669374999999,127.18001625000001
Jakarta,2024-09-19 00:00:00,78.13986324999999,110.750761
Jakarta,2024-09-19 06:00:00,39.538832500000005,56.124578
Jakarta,2024-09-19 12:00:00,47.8245,67.59023549999999
Jakarta,2024-09-19 18:00:00,79.07527624999999,111.784545
Jakarta,2024-09-20 00:00:00,115.87962875000001,163.8857735
Jakarta,2024-09-20 06:00:00,56.1167615,79.36228025
Jakarta,2024-09-20 12:00:00,52.49245275,73.9984785
Jakarta,2024-09-20 18:00:00,59.80649474999999,84.493023
Jakarta,2024-09-21 00:00:00,66.87682325,94.70835475000001
Jakarta,2024-09-21 06:00:00,47.46152575,67.3286985
Jakarta,2024-09-21 12:00:00,50.17125175,70.87658024999999
Jakarta,2024-09-21 18:00:00,74.1127625,104.725415
Jakarta,2024-09-22 00:00:00,116.70533850000001,164.445965
Jakarta,2024-09-22 06:00:00,66.185976,93.1595975
Jakarta,2024-09-22 12:00:00,64.61778125000001,90.552021
