time,latitude,longitude,pm2p5,pm10,city
2024-09-01 00:00:00,-6.0,106.5,5.209654e-08,7.369681e-08,Jakarta
2024-09-01 00:00:00,-6.0,107.25,3.9094175e-08,5.5293185e-08,Jakarta
2024-09-01 00:00:00,-6.75,106.5,7.7068535e-08,1.0956637e-07,Jakarta
2024-09-01 00:00:00,-6.75,107.25,8.680263e-08,1.2326564e-07,Jakarta
2024-09-01 06:00:00,-6.0,106.5,5.273614e-08,7.46104e-08,Jakarta
2024-09-01 06:00:00,-6.0,107.25,4.280082e-08,6.074083e-08,Jakarta
2024-09-01 06:00:00,-6.75,106.5,4.0002988e-08,5.706329e-08,Jakarta
2024-09-01 06:00:00,-6.75,107.25,3.280593e-08,4.7051117e-08,Jakarta
2024-09-01 12:00:00,-6.0,106.5,5.7429588e-08,8.107986e-08,Jakarta
2024-09-01 12:00:00,-6.0,107.25,4.06626e-08,5.7654688e-08,Jakarta
2024-09-01 12:00:00,-6.75,106.5,6.754976e-08,9.551127e-08,Jakarta
2024-09-01 12:00:00,-6.75,107.25,7.9617394e-08,1.1252996e-07,Jakarta
2024-09-01 18:00:00,-6.0,106.5,5.9191393e-08,8.357517e-08,Jakarta
2024-09-01 18:00:00,-6.0,107.25,3.6592326e-08,5.1836196e-08,Jakarta
2024-09-01 18:00:00,-6.75,106.5,1.2697632e-07,1.7952658e-07,Jakarta
2024-09-01 18:00:00,-6.75,107.25,1.4815743e-07,2.0979536e-07,Jakarta
2024-09-02 00:00:00,-6.0,106.5,6.3415655e-08,8.9747346e-08,Jakarta
2024-09-02 00:00:00,-6.0,107.25,5.689651e-08,8.054815e-08,Jakarta
2024-09-02 00:00:00,-6.75,106.5,1.6436593e-07,2.3237021e-07,Jakarta
2024-09-02 00:00:00,-6.75,107.25,1.6602769e-07,2.3493374e-07,Jakarta
2024-09-02 06:00:00,-6.0,106.5,6.36345e-08,9.014252e-08,Jakarta
2024-09-02 06:00:00,-6.0,107.25,5.5670967e-08,7.856465e-08,Jakarta
2024-09-02 06:00:00,-6.75,106.5,6.3814014e-08,9.0285766e-08,Jakarta
2024-09-02 06:00:00,-6.75,107.25,5.1126335e-08,7.2908506e-08,Jakarta
2024-09-02 12:00:00,-6.0,106.5,6.207529e-08,8.7622084e-08,Jakarta
2024-09-02 12:00:00,-6.0,107.25,4.260687e-08,5.975107e-08,Jakarta
2024-09-02 12:00:00,-6.75,106.5,7.085828e-08,9.917267e-08,Jakarta
2024-09-02 12:00:00,-6.75,107.25,7.320364e-08,1.03009825e-07,Jakarta
2024-09-02 18:00:00,-6.0,106.5,6.4344135e-08,9.0635695e-08,Jakarta
2024-09-02 18:00:00,-6.0,107.25,4.6349726e-08,6.5162794e-08,Jakarta
2024-09-02 18:00:00,-6.75,106.5,9.1352376e-08,1.2807504e-07,Jakarta
2024-09-02 18:00:00,-6.75,107.25,1.0169083e-07,1.4307284e-07,Jakarta
2024-09-03 00:00:00,-6.0,106.5,5.5712462e-08,7.848598e-08,Jakarta
2024-09-03 00:00:00,-6.0,107.25,4.2816055e-08,6.019059e-08,Jakarta
2024-09-03 00:00:00,-6.75,106.5,7.787412e-08,1.100982e-07,Jakarta
2024-09-03 00:00:00,-6.75,107.25,8.368556e-08,1.1822431e-07,Jakarta
2024-09-03 06:00:00,-6.0,106.5,5.68607e-08,8.022107e-08,Jakarta
2024-09-03 06:00:00,-6.0,107.25,4.0164196e-08,5.6293175e-08,Jakarta
2024-09-03 06:00:00,-6.75,106.5,2.8411705e-08,4.0296527e-08,Jakarta
2024-09-03 06:00:00,-6.75,107.25,2.7299393e-08,3.8897724e-08,Jakarta
2024-09-03 12:00:00,-6.0,106.5,4.592357e-08,6.455548e-08,Jakarta
2024-09-03 12:00:00,-6.0,107.25,3.6762685e-08,5.148604e-08,Jakarta
